id,label,solution
1,Grape___Black_rot,"1. During your fall clean-up, make sure that all mummies have been removed from the vine and all plant material on the ground below is destroyed. 
2. Prune out any and all areas with lesions; grapevines can handle a severe pruning — when in doubt, cut it out. 
3. If leaves appear the following spring with new lesions, remove these immediately and start a spray treatment program with one of the fungicides."
2,Apple___Apple_scab,"1. Choose resistant varieties when possible.
2. Rake under trees and destroy infected leaves to reduce the number of fungal spores available to start the disease cycle over again next spring.
3. Water in the evening or early morning hours (avoid overhead irrigation) to give the leaves time to dry out before infection can occur.
4. Spread a 3- to 6-inch layer of compost under trees, keeping it away from the trunk, to cover soil and prevent splash dispersal of the fungal spores.
5. For best control, spray liquid copper soap early, two weeks before symptoms normally appear. Alternatively, begin applications when disease first appears, and repeat at 7 to 10 day intervals up to blossom drop.
6. Bonide® Sulfur Plant Fungicide, a finely ground wettable powder, is used in pre-blossom applications and must go on before rainy or spore discharge periods. Apply from pre-pink through cover (2 Tbsp/ gallon of water), or use in cover sprays up to the day of harvest.
7. Organocide® Plant Doctor is an earth-friendly systemic fungicide that works its way through the entire plant to combat a large number of diseases on ornamentals, turf, fruit and more. Apply as a soil drench or foliar spray (3-4 tsp/ gallon of water) to prevent and attack fungal problems.
8. Containing sulfur and pyrethrins, Bonide® Orchard Spray is a safe, one-hit concentrate for insect attacks and fungal problems. For best results, apply as a protective spray (2.5 oz/ gallon) early in the season. If disease, insects or wet weather are present, mix 5 oz in one gallon of water. Thoroughly spray all parts of the plant, especially new shoots."
3,Apple___Black_rot,"1. Prune out dead or diseased branches.
2. Pick all dried and shriveled fruits remaining on the trees.
3. Remove infected plant material from the area.
4. All infected plant parts should be burned, buried or sent to a municipal composting site.
5. Be sure to remove the stumps of any apple trees you cut down. Dead stumps can be a source of spores."
4,Apple___Cedar_apple_rust,"1. Choose resistant cultivars when available.
2. Rake up and dispose of fallen leaves and other debris from under trees.
3. Remove galls from infected junipers. In some cases, juniper plants should be removed entirely.
4. Apply preventative, disease-fighting fungicides labeled for use on apples weekly, starting with bud break, to protect trees from spores being released by the juniper host. This occurs only once per year, so additional applications after this springtime spread are not necessary.
5. On juniper, rust can be controlled by spraying plants with a copper solution (0.5 to 2.0 oz/ gallon of water) at least four times between late August and late October.
6. Safely treat most fungal and bacterial diseases with SERENADE Garden. This broad spectrum bio-fungicide uses a patented strain of Bacillus subtilis that is registered for organic use. Best of all, SERENADE is completely non-toxic to honey bees and beneficial insects.
7. Containing sulfur and pyrethrins, Bonide® Orchard Spray is a safe, one-hit concentrate for insect attacks and fungal problems. For best results, apply as a protective spray (2.5 oz/ gallon) early in the season. If disease, insects or wet weather are present, mix 5 oz in one gallon of water. Thoroughly spray all parts of the plant, especially new shoots.
8. Contact your local Agricultural Extension office for other possible solutions in your area."
5,Cherry___Powdery_mildew,"1. Ensure there is enough spacing between your plants to provide enough airflow around all parts of the plant.
2. Don’t over fertilize your plants. New growth tends to be very susceptible to powdery mildew development.
3. Put plants where they will get enough light and avoid overly shady locations.
4. Make sure the soil can drain properly. Inadequate drainage can make soil a breeding ground for disease-causing organisms.
5. Use compost to boost the nutrient levels in the soil, which will in turn increase beneficial microorganism populations.
6. Keep plants properly maintained by removing any dead or diseased foliage and stems.
7. Use preventative treatment options, like a Safer® Brand Garden Fungicide, before powdery mildew even forms."
6,"Corn___Cercospora_leaf_spot Gray_leaf_spot","1. Resistant varieties: In places where leaf spot occur, these crops can ultimately grow and still be resistant to the disease. Susceptible varieties should not be planted in previously infected areas.
2. Crop rotation: The amount of initial inoculum will be reduced when a crop other than corn is planted for ≥2 years in that given area; meanwhile proper tillage methods are carried out. Clean plowing and 1-year crop rotation in the absence of corn allows for greater reductions of the disease as well. Note that conventional tilling can reduce disease but can lead to greater soil erosion.
3. Residue management: Burying the debris under the last year’s crop will help in reducing the presence of Cercospera zeae-maydis, as the fungal-infected debris can only survive above the soil surface. Again this technique will aid in reducing the primary inoculum, but it will not completely eradicate the disease.
4. Fungicides: Fungicides, if sprayed early in season before initial damage, can be effective in reducing disease. Currently there are 5 known fungicides that treat Corn grey leaf spot.
5. Planting Date: The impact of GLS is more severe if plants are affected early in their development. Early planting can help reduce yield losses by ensuring the crop is at a later stage of grain fill when conditions are typically favorable for GLS development.
6. Weed control: By removing weeds, above ground airflow to the crop is increased, relative humidity is decreased, and it limits infection at the most susceptible times."
7,Corn___Common_rust,"1. To reduce the incidence of corn rust, plant only corn that has resistance to the fungus. Resistance is either in the form of race-specific resistance or partial rust resistance. In either case, no sweet corn is completely resistant.
2. If the corn begins to show symptoms of infection, immediately spray with a fungicide. The fungicide is most effective when started at the first sign of infection. Two applications may be necessary.
3. Contact your local extension office for advice regarding specific fungicides and their uses."
8,Corn___Northern_Leaf_Blight,"1. Control of this disease is often focused on management and prevention. First, choose corn varieties or hybrids that are resistant or at least have moderate resistance to northern corn leaf blight.
2. When you grow corn, make sure it does not stay wet for long periods of time. The fungus that causes this infection needs between six and 18 hours of leaf wetness to develop. Plant corn with enough space for airflow and water in the morning so leaves can dry throughout the day.
3. The fungus overwinters in plant material, so it is also important to manage infected plants. Tilling the corn into the soil is one strategy, but with a small garden it may make more sense to just remove and destroy the affected plants.
4. Treating northern corn leaf blight involves using fungicides. For most home gardeners this step isn’t needed, but if you have a bad infection, you may want to try this chemical treatment. The infection usually begins around the time of silking, and this is when the fungicide should be applied."
9,Grape___Esca_(Black_Measles),"1. Presently, there are no effective management strategies for measles. Wine grape growers with small vineyards will often have field crews remove infected fruit prior to harvest. Raisins affected by measles will be discarded during harvest or at the packing house, while table grape growers will leave affected fruit on the vine.
2. Current research is focused on protecting pruning wounds from fungal infections to minimize suspect fungi from colonizing fresh wounds."
10,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),"1. Apply dormant sprays to reduce inoculum levels.
2. In addition to dormant sprays, growers should physically remove as much inoculum as possible, either by chopping up the prunings and burning them or burying large trunks to destroy fungal pathogens.
3. Open canopies have a number of benefits for disease control: They reduce relative humidity to discourage fungal attack, increase sunlight exposure to toughen fruit skins and kill fungal spores, and improve spray coverage.
4. Don’t let down your defenses.
5. Scout vineyards early in the season before bloom, because if you see a lot of black rot spots on the leaves, or Phomopsis on the canes and leaves, that indicates that you have inoculum waiting to attack your berries.
6. Use protectant and systemic fungicides. Protectants such as mancozeb and ziram can provide economical early-season control, especially for Phomopsis and black rot, and sulfur may be used for early powdery mildew control in cultivars that are not sulfur-sensitive.
7. To reduce the risk of grape pathogens developing fungicide resistance, growers should strive to make fewer fungicide sprays and alternate between fungicide groups, as delineated by the Fungicide Resistance Action Committee (FRAC) numbers on labels.
8. Cool, wet weather favors downy mildew, black rot, Phomopsis and anthracnose, while a drier season will promote powdery mildew, so monitoring the weather is a must for determining what the fungal future holds.
9. Spray well and wisely.
10. Apply, rain, repeat and Organize your vines."
